customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RecordDate
2130-VHAAB,Female,0,No,No,53,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,117.82,6067.93,Yes,2023-01-01
4898-WBUVM,Male,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.47,735.23,No,2023-01-01
1723-ZTFFJ,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),148.51,4695.23,Yes,2023-01-01
3556-XPLEH,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),148.83,4783.61,Yes,2023-01-01
7162-LNBNQ,Male,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),63.02,2089.6,Yes,2023-01-01
3306-VHACS,Male,0,Yes,Yes,35,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.91,3239.98,Yes,2023-01-01
9570-CAXOU,Male,0,Yes,No,14,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),121.47,1682.72,Yes,2023-01-01
7390-OOROJ,Female,0,No,Yes,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),122.61,1228.0,Yes,2023-01-01
9019-EBJDQ,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),130.25,514.52,Yes,2023-01-01
1082-MZFAZ,Male,0,No,Yes,45,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,138.68,6226.82,Yes,2023-01-01
2638-FRSIY,Male,0,Yes,No,33,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,77.9,2516.42,Yes,2023-01-01
